XCoord,YCoord,START_NODE,END_NODE,EDGE
-116.95177300,32.73987900,596,606,303
-116.95177300,32.73987900,596,617,309
-116.95135100,32.73996800,599,589,300
-116.95135100,32.73996800,599,585,301
-116.95135100,32.73996800,599,585,302
-116.95135100,32.73996800,599,606,304
-116.95135100,32.73996800,599,606,305
-116.95154300,32.74003100,606,596,303
-116.95154300,32.74003100,606,599,304
-116.95154300,32.74003100,606,599,305
-116.95154300,32.74003100,606,619,310
-116.95154300,32.74003100,606,619,311
-117.01652800,32.74222600,612,450,306
-114.72842600,32.71817000,613,614,307
-114.72015500,32.74335000,614,613,307
-114.72015500,32.74335000,614,626,313
-114.72015500,32.74335000,614,456,349
-117.01796400,32.74391200,615,445,308
-116.96284100,32.74525500,617,596,309
-116.96284100,32.74525500,617,494,318
-116.96284100,32.74525500,617,494,319
-116.96243200,32.74541700,619,606,310
-116.96243200,32.74541700,619,606,311
-116.96243200,32.74541700,619,644,324
-117.12035200,32.74582800,623,556,312
-114.61739500,32.72825700,626,614,313
-117.01853200,32.74788800,628,504,314
-117.01853200,32.74788800,628,634,317
-117.01853200,32.74788800,628,640,320
-117.12036400,32.74583600,629,630,315
-117.12252200,32.74864000,630,629,315
-116.48391400,32.75016100,631,233,316
-116.48391400,32.75016100,631,667,335
-116.48391400,32.75016100,631,667,336
-117.01169700,32.75343400,634,628,317
-117.01169700,32.75343400,634,640,321
-117.01118600,32.75389400,640,628,320
-117.01118600,32.75389400,640,634,321
-117.01118600,32.75389400,640,644,322
-117.01118600,32.75389400,640,818,409
-117.01081600,32.75395400,644,640,322
-117.01081600,32.75395400,644,645,323
-117.01081600,32.75395400,644,619,324
-117.01081600,32.75395400,644,820,411
-117.01973300,32.74710800,645,644,323
-116.49269200,32.75724500,649,650,325
-116.49269200,32.75724500,649,667,334
-116.49269200,32.75724500,649,732,366
-116.47217600,32.62920200,650,649,325
-117.23625400,32.75448200,651,652,326
-117.23625400,32.75448200,651,652,327
-117.20905700,32.75894000,652,651,326
-117.20905700,32.75894000,652,651,327
-117.20905700,32.75894000,652,655,333
-117.20400300,32.75910100,655,507,328
-117.20400300,32.75910100,655,507,329
-117.20400300,32.75910100,655,660,330
-117.20400300,32.75910100,655,652,333
-117.20400300,32.75910100,655,677,339
-117.20400300,32.75910100,655,677,340
-117.20371600,32.75910400,660,655,330
-117.20371600,32.75910400,660,519,331
-117.20371600,32.75910400,660,519,332
-117.20371600,32.75910400,660,674,337
-117.20371600,32.75910400,660,674,338
-117.20371600,32.75910400,660,708,354
-116.48754600,32.75962700,667,649,334
-116.48754600,32.75962700,667,631,335
-116.48754600,32.75962700,667,631,336
-116.48754600,32.75962700,667,689,345
-116.48754600,32.75962700,667,732,367
-116.48754600,32.75962700,667,732,368
-117.20385800,32.75966700,674,660,337
-117.20385800,32.75966700,674,660,338
-117.20385800,32.75966700,674,677,341
-117.20385800,32.75966700,674,677,342
-117.20385800,32.75966700,674,715,358
-117.20385800,32.75966700,674,715,359
-117.20385800,32.75966700,674,1176,588
-117.20385800,32.75966700,674,1176,589
-117.20415300,32.75967400,677,655,339
-117.20415300,32.75967400,677,655,340
-117.20415300,32.75967400,677,674,341
-117.20415300,32.75967400,677,674,342
-117.20415300,32.75967400,677,686,343
-117.20415300,32.75967400,677,686,344
-117.20415300,32.75967400,677,1181,591
-117.20415300,32.75967400,677,1181,592
-117.23542900,32.75574500,686,677,343
-117.23542900,32.75574500,686,677,344
-116.48575500,32.76006500,689,667,345
-116.48575500,32.76006500,689,250,346
